Support Service Categories,Stage of Orgs Supported,Industries Supported,Demographics Supported,Languages Supported,Name of Organization,Description of Organization,Testimonial,Location of Organization,Phone Number,Email One,Email Two,Email Three,Website of Organization,Facebook URL,Twitter URL,Instagram URL,Linkedin URL,YouTube URL,Meetup URL,Preferred Contact,Preferred Email,Business Hours,Messaging On/Off,Referral Code On/Off,Referral Code,Referral Code Description,Referral Code Expiration
"Business Setup ,Community Support ,Communications, Marketing, & Public Relations ,Social Media ,Nonprofit Support ,Health & Wellness ,Web Development ,Small Businesses ,Business/Entrepreneur Resources",,,,,Moxie Design Co.,"MOXIE DESIGN CO. specializes in creative media and marketing solutions. We employ an entourage of storytellers, brand strategists, and creative experts with just the right combination of passion and punch to pump up the volume of your brand image and media strategy. The Social Impact Program is available to qualifying non-profit organizations.",,"Champaign, IL, USA",217-718-3913,info@moxie.design,,,https://www.moxie.design/,,,,,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Design Services ,Web Development ,Service Providers ,Small Businesses ,Business/Entrepreneur Resources",,,,,thirdside,ThirdSide helps local businesses create and maintain a powerful image in print and on the web.,,"701 Devonshire Drive, Champaign, IL 61820, USA",217-693-3919,engage@thirdside.co,,,https://thirdside.co/,https://www.facebook.com/thirdsideco,https://twitter.com/thirdside,https://www.instagram.com/thirdsideco/,https://www.linkedin.com/company/thirdside/,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Design Services ,Small Businesses ,Business/Entrepreneur Resources",,,,,Thunder Struck Design,"Thunderstruck Design is a design and marketing firm located in Champaign, IL. We exist to inspire, persuade and communicate through design.",,"Champaign, IL, USA",217-356-5179,contact@thunderstruckdesign.com,,,http://thunderstruckdesign.com/,https://www.facebook.com/thunderstruckdesign/,https://twitter.com/communicateloud,https://www.instagram.com/thunderstruckdesign/,,https://www.youtube.com/channel/UCdXF9dRQjkzKoJMEY-iPu7Q,,,,,off,off,,,
"Community Support ,Education & Training ,Mentorship ,Service Providers ,Business Directory","Revenue from Customers ,Growth",,"Black ,Latinx ,Youth ,Low Income",,Housing Authority of Champaign County Youth Build,"YouthBuild is a U.S. Department of Labor-funded non-residential, a community-based alternative education program that provides job training and educational opportunities for at-risk youth ages 16-24. Youth in our program will learn construction skills while constructing or rehabilitating affordable housing for low-income or homeless families in their own neighborhoods.",,"2008 North Market Street, Champaign, IL, USA",(217) 378-7100,heatherr@hacc.net,hjrose03@gmail.com,concerns@hacc.net,https://hacc.net/youthbuild/,https://www.facebook.com/HACCYouthBuild/?ref=page_internal,https://twitter.com/HAofChampaign,https://www.instagram.com/explore/locations/142083673233875/housing-authority-of-champaign-county-illinois/,https://www.linkedin.com/company/champaign-county-housing-authority/,https://www.youtube.com/channel/UC6-ufzMyrtGMjtm_KOJ3oaw,,,,,off,off,,,
"Education & Training ,Team, Talent, & Human Resources ,Assessment & Evaluation ,Facilitation","Revenue from Customers ,Growth","Education & Training ,Management & Consulting","Black ,Latinx ,Immigrant ,American Indian or Alaska Native ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Hawaiian or Other Pacific Islander ,Low Income",,Lincoln & Hill INC,"Lincoln & Hill's mission is to increase skill-sets by training or retraining innovative techniques in the workforce. We develop capacity & competency through interdisciplinary learning and knowledge banking our coined methodology. Our model intentionally redistributes acquired knowledge across silos, subject matters, and industries to create accessible entry points for transferable knowledge.",,"906 West Hill Street, Urbana, IL, USA",8165335985,admin@lincolnhilltraining.com,mepelmore@gmail.com,mepelmore@gmail.com,https://mepelmore.wixsite.com/lincolnhilltraining,https://www.facebook.com/lincolnandhill,https://twitter.com/LincolnandHill,https://www.instagram.com/lincolnandhill/,,https://www.youtube.com/channel/UCtRSVJ0EibqFNi13SrExuVg,,E Mark Pelmore,admin@lincolnhilltraining.com,,on,off,,,
"Technology & Software Services ,Web Development ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Technology,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Tech Ed Solutions,"Tech Ed Solutions, in Champaign, IL, is the premier electronics repair store serving Rantoul, Decatur, Danville, Mattoon, Mahomet, Gibson, Bloomington, and surrounding areas. We specialize in computer and mobile phone repair, technology education and training classes, and much more. For more information, visit Tech Ed Solutions in Champaign.",,"605 North Neil Street, Champaign, IL, USA",(217) 722-8661,info@techedsupport.com,info@techedsupport.com,info@techedsupport.com,http://Www.TechEdSupport.com/,https://www.facebook.com/TechEdSolutions/?ref=page_internal,,https://www.instagram.com/techedsolution/,,,,,,,off,off,,,
"Design Services ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Freelance Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,PJS Handy + Clean,"One-stop-shop for ALL of your handyman, home renovation, and cleaning needs. Everything from changing locks to adding on a room and everything in between. Consultations are ALWAYS FREE!",,"Champaign, IL, USA",(336) 918-6531,pjshandyplusclean@gmail.com,pjshandyplusclean@gmail.com,pjshandyplusclean@gmail.com,https://pjshandyplusclean.com/,https://www.facebook.com/pjshandyplusclean/?ref=page_internal,,https://www.instagram.com/pjshandyclean/,,,,,,,off,off,,,
"Community Support ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Freelance Services,Returning Citizen,,First Followers,"FirstFollowers is a re-entry program for formerly incarcerated individuals, which assists with obtaining ID, employment, education, and housing.",,"Champaign, IL, USA",,firstfollowerscu@gmail.com,firstfollowerscu@gmail.com,firstfollowerscu@gmail.com,https://www.firstfollowersreentry.com/get-involved,https://www.facebook.com/firstfollowersreentry/?ref=page_internal,https://twitter.com/firstfollowers_,https://www.instagram.com/gomadcu/,,,,,,,off,off,,,
"Community Support ,Entrepreneur Support Organizations ,Black-Owned Businesses ,Business/Entrepreneur Resources",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Buy Black Chambana,"A community organization dedicated to empowering and creating space for ALL people to celebrate and honor black culture, support black businesses, and uplift the community through our many events, workshops, partnerships, and networking functions.",,"Champaign, IL, USA",,editor@buyblackchambana.com,editor@buyblackchambana.com,editor@buyblackchambana.com,http://www.buyblackchambana.com/,https://www.facebook.com/buyblackchambana,,https://www.instagram.com/buyblackchambana/,,,,,,,off,off,,,
"Community Support ,Diversity, Equity, & Inclusion ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth",Management & Consulting,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Coleman & Associates INC,"Coleman and Associates, Inc. is a consulting firm that focuses on procurement diversity in architecture, engineering, and construction. We engage public and private sector clients that are focused on creating meaningful partnerships, growth opportunities.",,"Champaign, IL, USA",(224) 442-0669,info@coleman-inc.com,info@coleman-inc.com,info@coleman-inc.com,http://www.coleman-inc.com/,https://www.facebook.com/colemanassociatesinc/?ref=page_internal,,,https://www.linkedin.com/company/coleman-inc/,,,,,,off,off,,,
"Community Support ,Diversity, Equity, & Inclusion ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth","Education & Training ,Freelance Services","Black ,Latinx ,Immigrant ,Returning Citizen ,Low Income",,Conscious Community Connections,"We aim to diversify and unify the community with discussions related to topics. We want to motivate, inspire, and clarify topics to uplift everyone. We are Conscious Community Connections, where we keep the community connected.",,"Champaign, IL, USA",(203) 403-7032,cccradio104.5@gmail.com,cccradio104.5@gmail.com,cccradio104.5@gmail.com,,https://www.facebook.com/mindfulccc,,,,https://www.youtube.com/channel/UCPKf2kqrd58JLbIzsVkvc_w?view_as=subscrib,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Technology & Software Services ,Service Providers ,Business Directory","Revenue from Customers ,Growth",,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Ekey Technology,"Ekey offers you personalized discounts and coupons from your favorite businesses the moment you walk through the door. Our technology helps businesses provide valuable, timely, location-specific advertisements directly to customers' mobile devices.",,"60 Hazelwood Drive, Champaign, IL, USA",,info@ekeyweb.com,info@ekeyweb.com,info@ekeyweb.com,https://www.ekeyweb.com/,https://www.facebook.com/Ekey-Technology-104143034761946/?ref=page_interna,https://twitter.com/EkeyTechnology,,,,https://ekeychannel.com/?fbclid=IwAR2RuSLyh85JQoc6gl4t__eNno9PxwGqsPi_5c05a4m9BNvSz7_FtNGzZfM,,,,off,off,,,
"Community Support ,Service Providers ,Black-Owned Businesses ,Business/Entrepreneur Resources",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Easy Pay,An authorized bill payment location also providers of license & title services,,"2901 West Springfield Avenue, Champaign, IL, USA",(217) 352-7781,2easy2pay@gmail.com,2easy2pay@gmail.com,2easy2pay@gmail.com,,https://www.facebook.com/champaigneasypay/?ref=page_internal,,,,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Design Services ,Small Businesses ,Business/Entrepreneur Resources ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,It's A Wrap Automotive LLC,"The Ceramic Pro Champaign location is the nearest Ceramic Pro authorized detailer to the University of Illinois. Located just one block north of the main thoroughfare of W. Church St, this auto detailer provides the high-end paint protection services residents need to stay protected in the seasonal extremes of Illinois. Ceramic Pro is neither a sealant nor a wax, rather it’s a nano-ceramic coating that forms a bond with the paint. This coating, once cured, provides a unique and highly advanced layer that transforms itself on any applied surface. With protective properties against road salt, insect acids, minor scratches, small dings, brake dust, and more, Ceramic Pro acts as a shield between a paint’s surface and the exterior world.",,"2020 Glenn Park Drive, Champaign, IL 61821, USA",(217) 531-7799,info@itsawrapauto.com,info@itsawrapauto.com,info@itsawrapauto.com,http://itsawrapauto.com/,,,https://www.instagram.com/itsawrapauto/?fbclid=IwAR1mKpeZmNwQji1TBXaHId2oUksNEdO2OU8K-ub2gKjFX36CV4G11sMRPlI,,https://www.youtube.com/itsawrapauto,,,,,off,off,,,
"Community Support ,Civil Rights, Social Action & Advocacy ,Diversity, Equity, & Inclusion ,Business/Entrepreneur Resources","Revenue from Customers ,Growth",,"Black ,Returning Citizen ,Youth ,Low Income",,NAACP Champaign County,"The NAACP Champaign County Branch serves the people of Champaign County. Our primary focus is to provide programs and services that promote and enhance civil and equal rights, political empowerment, educational excellence, economic development, and outreach, i.e. health, youth, etc. The Champaign County Branch strives to ensure equal access to all rights, privileges, and resources that contribute to the quality of life for the people it serves. The strength of our branch lies in the history of the organization and its membership. The Champaign County Branch is committed to building an organization that is trusted, respected, and considered an effective resource for the Champaign County community. The overall goal of the branch is to improve the quality of life for the people it serves.",,"Champaign, IL, USA",,,,,http://naacpcc.org/,https://www.facebook.com/naacpcc/?ref=page_internal,https://twitter.com/NAACPCC,https://www.instagram.com/naacpccorg/,,,,,,,off,off,,,
"Community Support ,Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Not On My Watch, Inc.","NOMW is a nonprofit organization that is on a mission to ""Empower the community one person at a time.""",,"Rantoul, IL, USA",(915) 276-0045,hburnett@nomwinc.org,hburnett@nomwinc.org,hburnett@nomwinc.org,http://www.nomwinc.org/,https://www.facebook.com/NOMWInc,,,,,,,,,off,off,,,
"Community Support ,Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Latinx ,Immigrant ,Returning Citizen ,Woman ,Youth ,Low Income",,Over the Rainbow Ministries,"The goal of Over The Rainbow is to plan, implement, coordinate, expand, and integrate multiple workforce-related services to youth job-seekers ages 16 to 25 in Champaign County. Emphasis will be placed upon services that help out-of-school youth to explore career and employment options.",,"Georgetown, IL, USA",(217) 597-2346,info@overtherainbowministries.org,info@overtherainbowministries.org,info@overtherainbowministries.org,,https://www.facebook.com/OTRMinistries/?ref=page_internal,,,,,,,,,off,off,,,
"Community Support ,Service Providers ,Small Businesses ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth","Freelance Services ,HR & Administrative Services","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Para Elite Lifestyle Management,"A concierge service focused on assisting busy professionals to find balance, calm, and spend more time doing the things that matter most - spending time with self, family, and others.",,"Champaign, IL, USA",(217) 318-9530,info@paraelitelm.com,info@paraelitelm.com,info@paraelitelm.com,https://paraelitelm.com/,https://www.facebook.com/ParaEliteLM,,https://www.instagram.com/paraelitelm/,,,,,,,off,off,,,
"Service Providers ,Insurance ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Finance & Insurance Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,State Farm (Agent Joe Stovall),"Our success is built on a foundation of shared values — quality service and relationships, mutual trust, integrity, and financial strength. Our vision for the future is to be the customer's first and best choice in the products and services we provide",,"1401 North Prospect Avenue, Champaign, IL, USA",(217) 356-8300,joe.stovall.hjaz@statefarm.com,,,https://www.joestovall.com/,,,,,,,,,,off,off,,,
"Community Support ,Funding, Development, & Capital ,Nonprofit Support ,Small Businesses ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Low Income",,Illinois Black Chamber of Commerce,The Illinois State Black Chamber of Commerce (ILBCC) is dedicated to the economic empowerment and sustained growth of black enterprise across the State of Illinois.,,"331 Fulton St, Peoria, Illinois, USA",(309) 672-1379,info@ilbcc.org,info@ilbcc.org,info@ilbcc.org,http://www.ilbcc.org/,https://www.facebook.com/ilbcc,https://twitter.com/IllinoisBCC,https://www.instagram.com/illinoisstateblackchamber/,,,,,,,off,off,,,
"Accounting & Finance Management ,Service Providers ,Business/Entrepreneur Resources",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Steve Pelmore Jr, CPA LLC","Certified Public Accounting Firm that specializes in Tax Preparation, Tax Planning, and Tax Resolution Services for individuals, small businesses, and tax-exempt organizations.",,,(629) 236-2191,admin@spj-cpa.com,admin@spj-cpa.com,admin@spj-cpa.com,https://www.spj-cpa.com/,https://www.facebook.com/SPelmoreCPA,,,,,,,,,off,off,,,
"Education & Training ,Service Providers ,Black-Owned Businesses ,Business Directory","Idea ,Minimum Viable Product ,Proof of Concept",,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Vibrant Coaching,"A Gallup-Certified Strengths Coach who helps you build, repair, or cross the bridge from where you are to where you want to be so you can be THE best you on purpose.",,"Champaign, IL, USA",,valencia@bevibrant.today,valencia@bevibrant.today,valencia@bevibrant.today,,https://www.facebook.com/bevibranttoday,,https://www.instagram.com/bevibranttoday/,https://www.linkedin.com/in/vibrantvalencia/,,,,,,off,off,,,
"Community Support ,Education & Training ,Black-Owned Businesses",Revenue from Customers,Education & Training,"Black ,Latinx ,Immigrant ,American Indian or Alaska Native ,Youth",,Urbana Neighborhood Connections Center,The Urbana Neighborhood Connections Center plays a vital role in the lives of more than 50 unique and talented K-12 students in Urbana public school District #116. We realize that many of our children come from some of the most underserved neighborhoods in our town and make it our mission to bridge both gaps in academic achievement and social inclusion.,,"1401 E Main St, Urbana, IL 61802, USA",217-954-1749,info@urbanaconnectionscenter.org,info@urbanaconnectionscenter.org,info@urbanaconnectionscenter.org,https://www.urbanaconnectionscenter.org/,https://www.facebook.com/urbanaconnectionscenter,,,,,,,,,off,off,,,
"Education & Training ,Mentorship ,Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Education Justice Project,The mission of the Education Justice project is to build a model college-in-prison program.,,"1001 S Wright St, Champaign, IL 61820, USA",(217) 300-5150,info@educationjustice.net,info@educationjustice.net,info@educationjustice.net,http://educationjustice.net/,https://www.facebook.com/educationjustice/?ref=page_internal,https://twitter.com/EJPillinois,https://www.instagram.com/ejp_at_il/,,,,,,,off,off,,,
"Education & Training ,Mentorship ,Black-Owned Businesses","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Cum Laude Educational Consultants (CLEC),"Creating and Increasing Equitable Opportunities through Education and Training in STEM and SEL STEM and SEL Education and Training for schools, community-based organizations, employers, and workforce development.",,"1513 W Truman Rd, Independence, MO 64050, USA",(816) 875-0111,team@clec.education,team@rw2.education,team@rw2.education,http://www.rw2.education/,https://www.facebook.com/RW2.0.ED/,https://twitter.com/SYIS_SEL,https://www.instagram.com/resiliencyatwork2.0/,,,,,,,off,off,,,
"Funding, Development, & Capital ,Location Services & Real Estate Development ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth","Housing, Construction, & Real Estate Development ,Finance & Insurance Services","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Melanated Investments,"We invest in the revitalization of people, property, and land throughout our community.",,,,melanatedinvestments@gmail.com,melanatedInvestments@gmail.com,melanatedinvestments@gmail.com,http://www.melanatedmarkets.com/,https://www.facebook.com/MelanatedInvestments,,https://www.instagram.com/melanatedinvestments/,,,,,,,off,off,,,
"Networking ,Black-Owned Businesses ,Business Directory","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Asian ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Veteran ,Woman ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander",,InKode Network TV,"InKode Network TV gives you instant access to channels for an international lifestyle, business, fashion & education, pay-per-view, live streaming, special events, local & international news, sitcoms talk shows, documentaries, reality TV, & original movies.",,,,,,,https://inkodenetworktv.com/,https://www.facebook.com/InKodeNetworkTV/?ref=page_internal,https://twitter.com/inkodenetworktv,https://www.instagram.com/inkodenetworktv/,,,,,,,off,off,,,
"Food & Beverage ,Black-Owned Businesses ,Event Planning & Logistics","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",Food & Beverage,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Sugar rim Bar,"Sugar Rim Bar offers you all of the experience of a lounge, party, or event without all the work!! We bring the party to you!",,"Maryland, USA",(240) 264-0247,sugarrimbar@aol.com,CoryBrim@sugarrimbar.com,CoryBrim@sugarrimbar.com,http://www.SugarRimBar.com/,https://www.facebook.com/SugarRimBar-180169665342922,https://twitter.com/SugarRimBar,https://www.instagram.com/sugarrimbar/,https://www.linkedin.com/in/cory-brim-0aa33061,https://www.youtube.com/channel/UCR9OPTj0zXn6LmEUCZNnfIg,,,,,off,off,,,
"Community Support ,Nonprofit Support ,Service Providers ,Small Businesses ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Returning Citizen ,Veteran ,Woman ,Low Income",,Black Chamber of Commerce of Illinois Inc.,Helping Black Business Thrive and build Capacity.,,"269 W Eldorado St, Decatur, IL 62522, USA",(217) 706-5074,contact@bcciinc.org,contact@bcciinc.org,contact@bcciinc.org,http://bcciinc.org/,https://www.facebook.com/BCCI.INC,https://twitter.com/bcci_inc,https://www.instagram.com/bcciinc/,,,,,,,off,off,,,
"Community Support ,Nonprofit Support ,Service Providers ,Small Businesses ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Returning Citizen ,Veteran ,Woman ,Low Income",,Springfield Chamber of Commerce - IL,"The Springfield Black Chamber of Commerce (SBCC) is an organization committed to the economic empowerment of African-American communities throughout Central Illinois. The SBCC also provides opportunities for business owners and other professionals to network and develop an awareness of business products and services. The SBCC is also focused on building healthy and prosperous organizations through education, advocacy, public and private partnerships, and access to resources.",,"Springfield, IL, USA",(217) 548-4731,info@springfieldbcc.org,info@springfieldbcc.org,info@springfieldbcc.org,http://springfieldbcc.org/,https://www.facebook.com/sbcc.il/?ref=page_internal,,https://www.instagram.com/springfieldbcc.il/?fbclid=IwAR08e69ppKQT2omkiHteP60AMjIu1sUEj9rfSlFod2hUIdK4QzRJJUkSir4,,,,,,,off,off,,,
"Community Support ,Nonprofit Support ,Service Providers ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,LGBTQIA+ ,Returning Citizen ,Veteran ,Woman ,Low Income",,Heartland St. Louis Black Chamber of Commerce,"The Heartland St. Louis Black Chamber of Commerce exists to be a key resource for black businesses, offering relationship building, networking, and marketing opportunities.",,"929 North Spring Avenue, Saint Louis, MO 63108, USA",(314) 282-5592,info@hbcstl.com,info@hbcstl.com,info@hbcstl.com,https://www.hbcstl.com/,https://www.facebook.com/stlblackchamber,https://twitter.com/stlblackchamber,https://www.instagram.com/stlblackchamber/,,,,,,,off,off,,,
"Food & Beverage ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Food & Beverage,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,CBPB Popcorn Shop,"CBPB Popcorn Shop is a unique popcorn and treats shop located in Champaign, Illinois. Open over 10yrs now we've grown into the best local specialty sweets and Gourmet Popcorn Shop in Central Illinois. With the best Caramel Apples and more.",,"1506 S Neil St, Champaign, IL, USA",(217) 607-5397,coolblisspoppedbliss@gmail.com,,,,https://www.facebook.com/CBPBPopcornshop,,https://www.instagram.com/cbpbpopcornshop/,,,,,,,off,off,,,
"Community Support ,Mentorship ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses",Revenue from Customers,Education & Training,"Black ,Latinx ,Youth ,Low Income",,Boyz 2 Men Mentoring Program,"Boyz 2 Men Mentoring Program’s mission is to improve the academic achievement, self-esteem, social awareness, and social competence of young African American males. By providing young men with professional male mentors.",,"Champaign, IL, USA",(217) 841-7433,voge58@yahoo.com,voge58@yahoo.com,voge58@yahoo.com,,https://www.facebook.com/Boyz2Men-Mentoring-Program-665986456945498/?ref=page_internal,,,,,,,,,off,off,,,
"Community Support ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Freelance Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Soil Culture,A landscaping company that does magnificent work at an affordable price!!,,"Champaign, IL, USA",(217) 898-6970,soilculture1@gmail.com,soilculture1@gmail.com,soilculture1@gmail.com,,https://www.facebook.com/Soilculture11,,,,,,,,,off,off,,,
"Health & Wellness ,Small Businesses ,Black-Owned Businesses ,Business Directory",,Health & Medical,"Black ,Asian ,Latinx ,Immigrant ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Wolf's Mane Beard Care,Wolf's Mane is an all-natural beard care company for all cultures and beard types and facial hair. Handmade by the bearded man.,,"Champaign, IL, USA",(949) 522-6226,info@wolfsmanebeardcare.com,info@wolfsmanebeardcare.com,info@wolfsmanebeardcare.com,http://www.wolfsmanebeardcare.com/,https://www.facebook.com/wolfsmanebeardcare,,,,,,,,,off,off,,,
"Health & Wellness ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Freelance Services,"Black ,Asian ,Latinx ,Immigrant ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Beard Culture Apparel & Products,"Beard Culture Apparel and Products' mission is to provide apparel and products that are unique, quality, and fashionable. Our products will continue to bring popularity, notoriety, and admiration to the culture of men’s beards worldwide.",,"Champaign, IL, USA",(765) 205-2325,beardculture292000@gmail.com,,,,,,,,,,,,,off,off,,,
